run_id,condition_id,task_id,repeat,task_success,tool_route_success,first_tool_accuracy,forbidden_tool_hit,hallucination,llm_calls,tool_calls,total_tokens,wall_time_s,tool_compute_time_s,llm_decision_time_s,knowledge_input_tokens_est,actual_tools,error
K0_T1_r01,K0,T1,1,False,False,False,False,False,1,0,539,8.794,0,8.794,0,,
K0_T1_r02,K0,T1,2,False,False,False,False,False,1,0,769,10.903,0,10.903,0,,
K0_T1_r03,K0,T1,3,False,False,False,False,True,1,0,1426,20.578,0,20.578,0,,
K0_T2_r01,K0,T2,1,False,False,False,False,False,1,0,1031,15.226,0,15.226,0,,
K0_T2_r02,K0,T2,2,False,False,False,False,False,1,0,614,8.53,0,8.53,0,,
K0_T2_r03,K0,T2,3,False,False,False,False,False,1,0,1124,17.244,0,17.244,0,,
K1_T1_r01,K1,T1,1,True,True,True,False,False,5,4,15826,92.405,78.821,13.584,0,"validate_basin,calibrate_model,evaluate_model,evaluate_model",
K1_T1_r02,K1,T1,2,True,True,True,False,False,4,4,12459,87.704,73.826,13.878,0,"validate_basin,calibrate_model,evaluate_model,evaluate_model",
K1_T1_r03,K1,T1,3,True,True,True,False,False,4,4,12581,86.886,72.998,13.888,0,"validate_basin,calibrate_model,evaluate_model,evaluate_model",
K1_T2_r01,K1,T2,1,True,True,True,False,False,4,7,15141,296.638,278.174,18.464,0,"validate_basin,calibrate_model,calibrate_model,evaluate_model,evaluate_model,evaluate_model,evaluate_model",
K1_T2_r02,K1,T2,2,True,True,True,False,False,7,10,34891,312.418,279.919,32.499,0,"validate_basin,calibrate_model,calibrate_model,evaluate_model,evaluate_model,evaluate_model,evaluate_model,read_file,read_file,read_file",
K1_T2_r03,K1,T2,3,True,True,True,False,False,6,11,30968,313.709,277.409,36.3,0,"validate_basin,calibrate_model,calibrate_model,evaluate_model,evaluate_model,evaluate_model,evaluate_model,read_file,read_file,read_file,read_file",
K2_T1_r01,K2,T1,1,True,True,True,False,False,5,5,53138,96.377,74.435,21.942,3151,"validate_basin,calibrate_model,evaluate_model,evaluate_model,read_file",
K2_T1_r02,K2,T1,2,True,True,True,False,False,6,6,66355,117.324,74.184,43.14,3151,"validate_basin,calibrate_model,evaluate_model,evaluate_model,read_file,read_file",
K2_T1_r03,K2,T1,3,True,True,True,False,False,7,6,76522,101.915,74.244,27.671,3151,"validate_basin,calibrate_model,evaluate_model,evaluate_model,read_file,read_file",
K2_T2_r01,K2,T2,1,True,True,True,False,False,8,17,110065,604.74,547.59,57.15,3151,"validate_basin,calibrate_model,calibrate_model,evaluate_model,evaluate_model,evaluate_model,evaluate_model,read_file,read_file,read_file,read_file,calibrate_model,calibrate_model,evaluate_model,evaluate_model,evaluate_model,evaluate_model",
K2_T2_r02,K2,T2,2,True,True,True,False,False,9,14,123371,354.888,295.989,58.899,3151,"validate_basin,read_file,calibrate_model,calibrate_model,evaluate_model,evaluate_model,evaluate_model,evaluate_model,read_file,read_file,read_file,read_file,generate_code,run_code",
