basin_id,difficulty,generation_idx,test_nse,best_so_far_nse,ngs,x1_range,x2_range,x3_range,x4_range,n_boundary_hits,wall_s,tokens,icall,notes
01169000,hard,1,0.2772,0.2772,20,"[1.0, 2500.0]","[-15.0, 15.0]","[1.0, 700.0]","[0.5, 12.0]",0,0.0,0,3780,"gen1 = M0 warm-start (reused from M0 trials.jsonl, no LLM, no recompute)"
01169000,hard,2,0.161,0.2772,20,"[300, 800]","[-6, 2]","[30, 200]","[1, 5]",3,765.11,4446,5220,"OBS: Gen 1 (M0) used very wide ranges and achieved best NSE of 0.2772 with no boundary hits, suggesting the algorithm found a plausible but modest optimum. No best parameter values were recorded, so w"
01169000,hard,3,0.2793,0.2793,25,"[300, 1500]","[-12, 2]","[20, 200]","[0.5, 5]",3,632.896,5037,4275,"OBS: Best NSE so far is 0.277 from Gen1 (wide ranges, no boundary hits). Gen2 narrowed to x1=[300,800], x2=[-6,2], x3=[30,200], x4=[1,5] but degraded to NSE=0.161 and hit boundaries at x1 upper (800),"
01169000,hard,4,0.278,0.2793,40,"[500, 2000]","[-20, 5]","[50, 400]","[0.5, 6]",1,1023.046,5646,7200,"OBS: Best NSE so far is 0.2793 from Gen 3, only marginally better than Gen 1 (0.2772). Gen 2 worsened to 0.1610. Gen 3 best_params hit boundaries: x1=1500 (upper), x2=-12 (lower), x3=196 (upper), whil"
01543000,medium,1,0.515,0.515,20,"[1.0, 2500.0]","[-15.0, 15.0]","[1.0, 700.0]","[0.5, 12.0]",0,0.0,0,3240,"gen1 = M0 warm-start (reused from M0 trials.jsonl, no LLM, no recompute)"
01543000,medium,2,0.4248,0.515,30,"[600, 1200]","[-4, 2]","[60, 200]","[1.5, 5.0]",3,804.847,4094,5400,"OBS: Gen1 baseline with wide ranges (x1=1-2500, x2=-15 to 15, x3=1-700, x4=0.5-12) achieved test NSE 0.515 with no boundary hits. Best parameters were not recorded but lie within these broad bounds. T"
01543000,medium,3,0.515,0.515,40,"[400, 2000]","[-12, 2]","[40, 250]","[0.5, 4.0]",1,1014.242,5381,6840,"OBS: Gen 1 (M0) achieved NSE=0.515 with wide ranges; Gen 2 narrowed to humid_cold archetype (x1=[600,1200], x2=[-4,2], x3=[60,200], x4=[1.5,5.0]) but degraded to 0.425 with boundary hits at x1 upper ("
01543000,medium,4,0.515,0.515,50,"[200, 1500]","[-25, 0]","[40, 300]","[0.3, 3.0]",0,1064.708,5256,7200,"OBS: Gen1 NSE=0.5150 with wide ranges (no boundary hits). Gen2 NSE=0.4248 with tighter ranges but hit boundaries (x1 upper, x2 lower, x4 lower), confirming bounds too restrictive. Gen3 expanded ranges"
02246000,easy,1,0.7348,0.7348,20,"[1.0, 2500.0]","[-15.0, 15.0]","[1.0, 700.0]","[0.5, 12.0]",0,0.0,0,3420,"gen1 = M0 warm-start (reused from M0 trials.jsonl, no LLM, no recompute)"
02246000,easy,2,0.6729,0.7348,20,"[200, 600]","[-8, -1]","[30, 100]","[1.0, 2.5]",3,514.414,4333,3420,"OBS: Gen 1 (M0) achieved NSE=0.7348 with wide ranges and no boundary hits, indicating a well-behaved basin. The best parameters from M0 were not provided, but the NSE is strong, suggesting the paramet"
